HR and LR resolutions: (576, 384), (144, 96)
PSNR bicubic: 23.1048   PSNR nearest: 20.8212
Starting optimization with ADAM
Iteration 00388    PSNR_LR 25.960   PSNR_HR 21.546 
Iteration 00389    PSNR_LR 26.174   PSNR_HR 21.714 
Iteration 00390    PSNR_LR 26.089   PSNR_HR 21.675 
Iteration 00391    PSNR_LR 26.224   PSNR_HR 21.656 
Iteration 00392    PSNR_LR 25.866   PSNR_HR 21.464 
Iteration 00393    PSNR_LR 26.295   PSNR_HR 21.689 
Iteration 00394    PSNR_LR 26.189   PSNR_HR 21.719 
Iteration 00395    PSNR_LR 26.241   PSNR_HR 21.721 
Iteration 00396    PSNR_LR 26.346   PSNR_HR 21.710 
Iteration 00397    PSNR_LR 26.266   PSNR_HR 21.763 
Iteration 00398    PSNR_LR 26.336   PSNR_HR 21.807 
Iteration 00399    PSNR_LR 26.461   PSNR_HR 21.799 
Iteration 00400    PSNR_LR 26.430   PSNR_HR 21.643 
Iteration 00401    PSNR_LR 26.459   PSNR_HR 21.634 
Iteration 00402    PSNR_LR 26.444   PSNR_HR 21.664 
Iteration 00403    PSNR_LR 26.411   PSNR_HR 21.670 
Iteration 00404    PSNR_LR 26.495   PSNR_HR 21.694 
Iteration 00405    PSNR_LR 26.350   PSNR_HR 21.648 
Iteration 00406    PSNR_LR 26.614   PSNR_HR 21.771 
Iteration 00407    PSNR_LR 26.554   PSNR_HR 21.802 
Iteration 00408    PSNR_LR 26.716   PSNR_HR 21.912 
Iteration 00409    PSNR_LR 26.528   PSNR_HR 21.881 
Iteration 00410    PSNR_LR 26.592   PSNR_HR 21.840 
Iteration 00411    PSNR_LR 26.658   PSNR_HR 21.888 
Iteration 00412    PSNR_LR 26.630   PSNR_HR 21.824 
Iteration 00413    PSNR_LR 26.628   PSNR_HR 21.857 
