HR and LR resolutions: (576, 384), (144, 96)
PSNR bicubic: 23.1048   PSNR nearest: 20.8212
Starting optimization with ADAM
Iteration 00377    PSNR_LR 26.004   PSNR_HR 21.441 
Iteration 00378    PSNR_LR 25.990   PSNR_HR 21.293 
Iteration 00379    PSNR_LR 25.966   PSNR_HR 21.520 
Iteration 00380    PSNR_LR 26.045   PSNR_HR 21.595 
Iteration 00381    PSNR_LR 25.682   PSNR_HR 21.203 
Iteration 00382    PSNR_LR 25.829   PSNR_HR 21.404 
Iteration 00383    PSNR_LR 26.116   PSNR_HR 21.616 
Iteration 00384    PSNR_LR 26.123   PSNR_HR 21.533 
Iteration 00385    PSNR_LR 26.057   PSNR_HR 21.545 
Iteration 00386    PSNR_LR 26.093   PSNR_HR 21.620 
Iteration 00387    PSNR_LR 26.208   PSNR_HR 21.684 
Iteration 00388    PSNR_LR 26.221   PSNR_HR 21.659 
Iteration 00389    PSNR_LR 26.229   PSNR_HR 21.672 
Iteration 00390    PSNR_LR 25.916   PSNR_HR 21.390 
Iteration 00391    PSNR_LR 26.161   PSNR_HR 21.616 
Iteration 00392    PSNR_LR 26.054   PSNR_HR 21.502 
Iteration 00393    PSNR_LR 26.230   PSNR_HR 21.685 
Iteration 00394    PSNR_LR 26.238   PSNR_HR 21.662 
Iteration 00395    PSNR_LR 26.048   PSNR_HR 21.491 
Iteration 00396    PSNR_LR 26.391   PSNR_HR 21.766 
Iteration 00397    PSNR_LR 26.400   PSNR_HR 21.767 
Iteration 00398    PSNR_LR 26.409   PSNR_HR 21.690 
Iteration 00399    PSNR_LR 26.435   PSNR_HR 21.740 
Iteration 00400    PSNR_LR 26.444   PSNR_HR 21.696 
Iteration 00401    PSNR_LR 26.426   PSNR_HR 21.690 
Iteration 00402    PSNR_LR 26.319   PSNR_HR 21.701 
Iteration 00403    PSNR_LR 26.523   PSNR_HR 21.769 
Iteration 00404    PSNR_LR 26.413   PSNR_HR 21.715 
Iteration 00405    PSNR_LR 26.391   PSNR_HR 21.739 
Iteration 00406    PSNR_LR 26.620   PSNR_HR 21.875 
Iteration 00407    PSNR_LR 26.495   PSNR_HR 21.783 
Iteration 00408    PSNR_LR 26.502   PSNR_HR 21.798 
Iteration 00409    PSNR_LR 26.552   PSNR_HR 21.793 
Iteration 00410    PSNR_LR 26.511   PSNR_HR 21.721 
Iteration 00411    PSNR_LR 26.561   PSNR_HR 21.870 
Iteration 00412    PSNR_LR 26.437   PSNR_HR 21.707 
Iteration 00413    PSNR_LR 26.212   PSNR_HR 21.760 
